Real                    | Euler                  | RK4                    | Euler diff             | RK4 diff               
-----------------------------------------------------------------------------------------------------------------------------
2.8182204839481573      | 2.8168440288780277     | 2.816844028718013      | -0.001376455070129623  | 1.600146681823844E-10  
2.818178688787639       | 2.8167322028188337     | 2.8167322026580854     | -0.0014464859688052556 | 1.6074830355705672E-10 
2.8179301821268883      | 2.8166192948687945     | 2.816619294709569      | -0.001310887258093807  | 1.5922552165648085E-10 
2.8177994756755154      | 2.816289155553102      | 2.8162891553916696     | -0.0015103201224131446 | 1.6143264502943566E-10 
2.8173130516107805      | 2.8160526082728        | 2.8160526081144157     | -0.001260443337980366  | 1.5838441669302483E-10 
2.8170774704322703      | 2.8155201728201513     | 2.8155201726580854     | -0.0015572976121189797 | 1.6206591624268185E-10 
2.8163743085255253      | 2.8151385223759977     | 2.8151385222185055     | -0.0012357861495275735 | 1.5749224147043606E-10 
2.816007245136593       | 2.8144304877653203     | 2.814430487602668      | -0.00157675737127283   | 1.6265255808889378E-10 
2.815119117352005       | 2.8138715357239468     | 2.8138715355674044     | -0.0012475816280583807 | 1.5654233465056677E-10 
2.814583317587959       | 2.8130252814632746     | 2.813025281300086      | -0.0015580361246843033 | 1.631885737651828E-10  
2.8135525914376287      | 2.812246091571679      | 2.8122460914161427     | -0.0013064998659495508 | 1.5553647259025638E-10 
2.8128001507638385      | 2.811309683436133      | 2.811309683272455      | -0.0014904673277054137 | 1.6367796007443758E-10 
2.8116797935026026      | 2.8102565773280093     | 2.810256577173534      | -0.0014232161745932892 | 1.5447509937871473E-10 
2.810652152271477       | 2.809288772166413      | 2.8092887720022914     | -0.0013633801050638716 | 1.641216051950778E-10  
2.809505736141191       | 2.8078973239942693     | 2.8078973238409146     | -0.001608412146921534  | 1.5335466230226302E-10 
2.8081336737941918      | 2.8069675756048866     | 2.8069675754403667     | -0.0011660981893051314 | 1.645199532163133E-10  
2.8070353823180105      | 2.8051626055974124     | 2.8051626054452354     | -0.0018727767205981571 | 1.5217693771774066E-10 
2.8052390105321336      | 2.804351071673379      | 2.8043510715085063     | -8.87938858754822E-4   | 1.6487256004893425E-10 
2.8042736458594164      | 2.8020466386173988     | 2.802046638466462      | -0.0022270072420176312 | 1.5093659655462943E-10 
2.801962400637455       | 2.8014441887625674     | 2.801444188597386      | -5.182118748874309E-4  | 1.6518120204978004E-10 
2.801225391940016       | 2.798543581408854      | 2.7985435812592176     | -0.002681810531162121  | 1.4963630334818845E-10 
2.798298024643829       | 2.7982518062248225     | 2.7982518060593753     | -4.621841900664947E-5  | 1.6544721148648023E-10 
2.7978954375643723      | 2.794778754862147      | 2.7947787546964755     | -0.003116682702225315  | 1.656714765374545E-10  
2.794288552043933       | 2.794647533616887      | 2.7946475334686127     | 3.58981572953887E-4    | 1.482742817415783E-10  
2.7942400048902676      | 2.7910298174092594     | 2.791029817243406      | -0.0032101874810082087 | 1.6585355311349304E-10 
2.7904094574692406      | 2.790352535587055      | 2.790352535440206      | -5.69218821855344E-5   | 1.4684919946716946E-10 
2.7897824049391704      | 2.7870097290118743     | 2.787009728845879      | -0.002772675927296131  | 1.659952175714352E-10  
2.786262829177466       | 2.7856525677693895     | 2.785652567624033      | -6.102614080765179E-4  | 1.453566156328634E-10  
2.7849192289885623      | 2.7827231777002197     | 2.782723177534122      | -0.0021960512883425487 | 1.6609780217891057E-10 
2.781853296215313       | 2.780541550116447      | 2.780541549972646      | -0.0013117460988660845 | 1.4380097113075863E-10 
2.779644421278448       | 2.7781748048578416     | 2.7781748046916803     | -0.001469616420606279  | 1.6616130693591913E-10 
2.77718544179734        | 2.7750133414752822     | 2.775013341333105      | -0.002172100322057613  | 1.421773809795468E-10  
2.7739518654912323      | 2.773369205685749      | 2.7733692055195625     | -5.82659805483221E-4   | 1.6618662002088058E-10 
2.7722638037597425      | 2.7690617389733436     | 2.7690617388328564     | -0.0032020647863988394 | 1.4048717744685746E-10 
2.7678353841461445      | 2.7683109296619355     | 2.768310929495762      | 4.7554551579098714E-4  | 1.6617329734458508E-10 
2.767092875009646       | 2.7630044809963366     | 2.7630044808302117     | -0.004088394013309404  | 1.6612489162071142E-10 
2.7616771039699466      | 2.7626804773981677     | 2.762680477259442      | 0.0010033734282210993  | 1.3872547555138226E-10 
2.761288737987606       | 2.757454319081245      | 2.757454318915205      | -0.003834418906361048  | 1.6604007058163006E-10 
2.7560208950197493      | 2.755863228570865      | 2.755863228433971      | -1.5766644888426384E-4 | 1.368940516499606E-10  
2.7543056253674822      | 2.75166485893726       | 2.751664858771341      | -0.0026407664302223743 | 1.65918834227341E-10   
2.750128608930445       | 2.748603600713289      | 2.748603600578297      | -0.0015250082171558432 | 1.3499201756417278E-10 
2.746879681621157       | 2.745640471654794      | 2.745640471489031      | -0.001239209966362953  | 1.6576340300389347E-10 
2.7440045632974703      | 2.7408951378088506     | 2.7408951376758353     | -0.0031094254886196993 | 1.3301537649113016E-10 
2.739004478437369       | 2.7393854848311836     | 2.7393854846656085     | 3.8100639381477563E-4  | 1.6557510917891705E-10 
2.7376530329677924      | 2.7329041830034484     | 2.7329041828380953     | -0.004748849964343993  | 1.6535306457399201E-10 
2.731078250463161       | 2.7327313189569225     | 2.7327313188259565     | 0.001653068493761456   | 1.3096590478767212E-10 
2.7306735232217423      | 2.7262008080767544     | 2.7262008079116566     | -0.0044727151449879265 | 1.6509771327832823E-10 
2.7242844063991694      | 2.724105557720729      | 2.72410555759189       | -1.7884867844042418E-4 | 1.2883871747249032E-10 
